journal_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
333,0,0.013195,0.010098,0.005979,0.004563,0.014188,0.014919
334,0.020405,0.003006,0.009659,0.004031,0.005499,0.003948,0.003252
335,0.008175,0,0.006134,0.006983,0.005173,0.01179,0.010443
336,0.015867,0.012128,0.016292,0.003299,0.002928,0.006955,0.00654
337,0.012012,0.009424,0.013448,0.005511,0.004171,0.012257,0.009931
338,0.018486,0.014312,0.020116,0.010555,0.015205,0.007583,0.006439
339,0.02271,0.026345,0.012216,0.010335,0.004672,0.003304,0
340,0.00575,0.008415,0.003267,0.013635,0.008766,0.011448,0.013986
341,0.006887,0.012235,0.008204,0.008812,0,0.004339,0.007111
342,0.01472,0.005439,0.01013,0.003196,0.003407,0.00453,0
343,0.015045,0.013912,0.012705,0.008557,0.010512,0.003332,0
344,0.005356,0.006541,0.006702,0.003122,0.003491,0.010892,0.01465
345,0.020009,0.020694,0.01573,0.004131,0.003858,0.017379,0.008032
346,0.013588,0.00331,0.003378,0.00386,0.003309,0.005402,0.003615
347,0.020358,0.013086,0.022103,0.012633,0.019083,0.003668,0
348,0.018982,0.009302,0.012105,0.003899,0.00413,0.003519,0.003246
349,0.01129,0,0.007908,0.006581,0.007908,0.011735,0.009206
350,0.018878,0,0.020717,0.008274,0.006471,0,0.003478
351,0.011505,0,0.005406,0.013267,0.006979,0.006892,0.006543
352,0.013999,0.009065,0.0202,0.01001,0.010527,0.005119,0.008048
353,0.009804,0.00522,0.018574,0.013845,0.007471,0.020462,0.008745
354,0.011521,0.008128,0.004182,0.013865,0.015517,0.004311,0.010391
355,0.015527,0.010339,0.013977,0.003055,0.003983,0.004629,0.006813
356,0.019506,0.009619,0.00333,0.007294,0.017062,0.004128,0.006389
357,0.017807,0.016467,0.011635,0.011631,0.007373,0.004892,0.008499
358,0.020962,0.017809,0.020667,0.00901,0.011676,0.01647,0.008181
359,0.012776,0.019701,0.008368,0.008958,0.012718,0,0.00339
360,0.020155,0,0.020086,0.005374,0.007947,0.006415,0.003488
361,0.018326,0.005726,0.015797,0.012104,0.006002,0.009119,0.010692
362,0.013747,0.013406,0.021379,0.007427,0.04317,0.016,0.008349
363,0.019146,0.016722,0.016656,0.009763,0.011707,0.005393,0.019089
364,0.018434,0.004027,0.017318,0.005083,0.011499,0.008442,0.006853
365,0,0.016029,0.019522,0.0169,0.010296,0.011544,0.0146
366,0.015981,0.016958,0.017167,0.005933,0.009515,0.003034,0.003176
367,0.004848,0,0.00358,0.0109,0.00326,0.011743,0.009656
368,0.007852,0.012946,0.012986,0.006967,0.010161,0,0.003622
369,0.008816,0.012778,0.021181,0.003258,0.004123,0.007731,0.003741
370,0.011072,0.014553,0.012319,0.005322,0.006764,0.003841,0.004503
371,0.003875,0,0,0.010246,0.007916,0.0077,0.006445
372,0.007831,0.017256,0.005494,0.004354,0.009239,0.013383,0.00577
373,0.029263,0.025534,0.004375,0.012968,0.008666,0.00329,0.003829
374,0.018781,0.020505,0.021311,0,0.003436,0.008273,0.008061
375,0.017468,0.019542,0.017507,0.003814,0.003564,0.019905,0.007961
